Company Name,Location
FLYING DRAGON CINEMATOGRAPHY PTY LTD,"TEMPLESTOWE, Victoria"
FLYING FEATURES PTY. LTD.,"BRUNSWICK EAST, Vic"
FLYING ROBOT MEDIA PTY LTD,"Heathcote, NSW"
FLYITNET PTY LTD,"ADELAIDE, SA"
Flynn Allan CONNORS,"SOUTH PENRITH, New South Wales"
Flynn Benjamin Wills GEDDES,"Wandal, Qld"
FM CLEAN GROUP PTY LTD,"BONNYRIGG, New South Wales"
FNQ AGRI SERVICES PTY LTD,"MUNRO PLAINS, Queensland"
FNQ ENGINEERING SURVEYING PTY LTD,"STRATFORD, Queensland"
FORCE 10 PICTURE COMPANY PTY LTD,"COLLAROY, NSW"
FORESIGHT ENGINEERING SERVICES PTY LTD,"BRIGHT, Vic"
FOREVER VIRTUAL PTY LTD,"FOOTSCRAY, Vic"
FORTESCUE LTD,"PERTH, WA"
FOTI INTERNATIONAL FIREWORKS PTY LTD,"WETHERILL PARK, NSW"
FOTOVISION AUSTRALIA PTY LTD,"CLARENCE GARDENS, SA"
FOUR ELEMENTS CONSULTING (QLD) PTY LTD,"BUNGALOW, Qld"
FOX SPORTS AUSTRALIA PTY LIMITED,"ARTARMON, NSW"
FP AGRISERVICES PTY LTD,"HINDMARSH VALLEY, South Australia"
FQ PRECISION PTY LTD,"CASTLETOWN, Western Australia"
Francesco Di Alessandro RINI,"HOCKING, WA"
"FRANCIS, MATTHEW DAVID","PORT KENNEDY, WA"
FRANKIE FILMS PTY LTD,"GLENGOWRIE, SA"
Free Marketeers Pty Ltd,"KENSINGTON, Vic"
FREMANTLE COMMERCIAL DIVING PTY LTD,"BIBRA LAKE, Western Australia"
FRESH SALAD PACKERS PTY. LTD.,"BACCHUS MARSH, Vic"
FREYSSINET AUSTRALIA PTY LTD,"MACQUARIE PARK, NSW"
FULCRUM COMMERCIAL PTY LTD,"HUNTINGFIELD, Tasmania"
FULCRUMAIR PTY LTD,"ARANA HILLS, Qld"
FULL HORIZON PTY LTD,"MORAYFIELD, Queensland"
FULTON HOGAN CONSTRUCTION PTY LTD,"ALEXANDRIA, NSW"
FULTON HOGAN INDUSTRIES PTY LTD,"DANDENONG SOUTH, Vic"
Future Films Australia Pty Ltd,"COALCLIFF, NSW"
FUTURE MAINTENANCE TECHNOLOGIES PTY LTD,"ASHGROVE, Qld"
FUTUREPROOF BUILDING SERVICES PTY LTD,"BELMONT, WA"
FYFE PTY LTD,"ADELAIDE, SA"
Fynn Keller SPROTT,"Kingston Beach, Tas"
G & J CONSULTING PTY. LTD.,"DONCASTER EAST, Vic"
G & M AG SPRAY PTY LTD,"BEELBANGRA, NSW"
G B GEOTECHNICS (AUSTRALIA) PTY LIMITED,"CASTLE HILL, NSW"
G FILMS PTY LTD,"MORDIALLOC, Victoria"
GABRIELLE CARRICK ADVERTISING SERVICES PTY LTD,"BOAT HARBOUR, New South Wales"
GALACAM PTY. LTD.,"FORTITUDE VALLEY, Queensland"
GALASSIA TECHNOLOGIES PTY LIMITED,"ANNANGROVE, NSW"
GALAXY CITY PTY LTD,"MELBOURNE, Vic"
GAME OF DRONES PTY LTD,"ASHGROVE, Qld"
GAMUDA (AUSTRALIA) PTY LTD,"NORTH SYDNEY, NSW"
GAP DRONE OPERATIONS PTY LTD,"MOONEE PONDS, Victoria"
GARDEN PROJECTS NT PTY LTD,"WINNELLIE, Northern Territory"
Gareth Craig PICKFORD,"Marsden Park, NSW"
Garon John FREY,"CREMORNE, Tas"
GARRATT CONSTRUCTION PTY LTD,"Banyo, Qld"
Garry Noel BYE,"KIRWAN, Qld"
Garry Steven BUCKLAND,"GRANGE, SA"
Garry William OWENS,"DAVISTOWN, NSW"
Garth Alestair JULIUS,"WONGA PARK, Vic"
Gary Randall TISCHER,"MORNINGSIDE, Qld"
GAVIN BLUE PHOTOGRAPHY PTY. LTD.,"GLEN IRIS, Vic"
Gavin Jon COOMBS,"LOCKLEYS, SA"
Gavin THORNTON,"HORNSBY, NSW"
Gavin WILLIAMS,"GINOONDAN, Qld"
GAZZOLA ENTERPRISES (WA) PTY LTD,"HIGH WYCOMBE, Western Australia"
GC VIVABLAST AUSTRALIA PTY LTD,"TWEED HEADS, New South Wales"
GDJ DE BEER PTY LTD,"MUNGINDI, Qld"
GEE GEE TECHNOLOGIES PTY LTD,"BURLEIGH HEADS, Qld"
GENERATOR PROPERTY MANAGEMENT PTY LIMITED,"Colongra, NSW"
GENTARI SOLAR AUSTRALIA PTY LTD,"MANLY, NSW"
GENTECH SEEDS PTY LTD,"TOOWOOMBA, Qld"
GEOCUE AUSTRALIA PTY LTD,"NEWPORT, Queensland"
GEODRONES AUSTRALIA PTY LTD,"CANBERRA AIRPORT, Australian Capital Territory"
Geoffrey Alan COMFORT,"PEARCE, ACT"
Geoffrey Stuart PENGILLY,"MURRUMBATEMAN, NSW"
Geordie William ELLIOTT,"BREAKAWAY CREEK, Vic"
GEORGE BOURNE & ASSOCIATES PTY LTD,"BARCALDINE, Qld"
George Michael Hain,"ARABLE, NSW"
George SHAMROCK,"PALM COVE, Queensland"
GEORGIOU GROUP PTY LTD,"OSBORNE PARK, WA"
GEOSURV SPATIAL PTY LTD,"KOGARAH, New South Wales"
GEOTAUR PTY LTD,"PERTH, WA"
GEOTRACE PTY LTD,"MCGRATHS HILL, New South Wales"
Gerard Bruno LAMARQUE,"CRANBOURNE, Vic"
Gerard Peter DWYER,"CRESTMEAD, Qld"
Gergely TORDA,"TOWNSVILLE CITY, Qld"
GILBERT FARKAS PTY LIMITED,"FAIRLIGHT, NSW"
GINGER GEM DRONES PTY LTD,"BEDGERABONG, NSW"
GIPPSLAND AGRICULTURAL DRONE SPRAYING & CONTRACTING PTY LTD,"WARRAGUL, Victoria"
GIPPSLAND SPRAY DRONES AG PTY LTD,"ROSEDALE, Victoria"
GIPPSLAND360 PTY LTD,"Traralgon, Vic"
GIPPY AG DRONES PTY LTD,"Bena, Vic"
GJ & RM ENTERPRISES PTY LTD,"GEELONG, Vic"
GLADSTONE AREA WATER BOARD,"GLADSTONE, Qld"
Glauco ANTES DEFENDI,"EAST MACKAY, Qld"
Glen David KELLY,"POOWONG NORTH, Vic"
Glen Edmund PELZ,"MOUNT HELEN, Vic"
Glen Iva MANSFIELD,"KANDANGA, Qld"
Glen Peter HARRISON,"MURRAY'S BEACH, NSW"
GLENCORE AUSTRALIA HOLDINGS PTY LIMITED,"SYDNEY, NSW"
GLENN HESTER PHOTOGRAPHY PTY. LTD,"CLIFTON HILL, Vic"
Glenn Victor FROST,"PADDYS RIVER, NSW"
GLOBAL HEADQUARTERS PTY LTD,"WINNELLIE, NT"
GLOBAL PICTURES PTY LTD,"SURRY HILLS, New South Wales"
GLOBAL UNMANNED SYSTEMS PTY LTD,"Hamilton Hill, WA"
GM- CIVIL AND CONSTRUCTION SURVEYING PTY LTD,"BRENDALE, Qld"
GO WEST PICTURES PTY. LIMITED,"NORTH MANLY, NSW"
GODRONE PTY LTD,"BURNETT CREEK, Qld"
GOLD COAST DRONES PTY. LTD.,"PARADISE POINT, Qld"
GOLDEN REPORT AND REPAIRS PTY LTD,"SUCCESS, Western Australia"
GOLDEN WALLABY PTY LTD,"PALM BEACH, Queensland"
GOLDENFIELDS WATER COUNTY COUNCIL,"TEMORA, NSW"
GOLDING CONTRACTORS PTY LTD,"MILTON, Qld"
GOLDLINE TECHNOLOGIES SYSTEMS PTY LTD,"BALWYN, Vic"
GOOD MORNING CREATIVE PTY LTD,"ROWVILLE, Victoria"
Gordei KRASNOV,"GLEN IRIS, Vic"
GOULBURN-MURRAY RURAL WATER CORPORATION,"TATURA, Vic"
GRADCO PTY. LTD.,"ST LEONARDS, Tas"
GRAHAM JEPSON PHOTOGRAPHY PTY LTD,"BALMAIN, New South Wales"
Graham John HOSKING,"DERRINAL, Vic"
GRANGE RESOURCES (TASMANIA) PTY LTD,"BURNIE, Tas"
Grant Andrew FARROW,"Mannerim, Vic"
GRAZEMATE PTY LTD,"GLEN ISLA, Queensland"
GREAT BARRIER REEF AIRPORT PTY LTD,"HAMILTON ISLAND, Qld"
GREATER WESTERN WATER,"FOOTSCRAY, Vic"
GREENMOUNT RESOURCES PTY LTD,"WEST PERTH, WA"
GREENSKY DRONE SERVICES PTY LTD,"MOUNT PLEASANT, Queensland"
GREENWICH SURVEYING PTY LTD,"BIRTINYA, Qld"
GREG D HENDERSON PTY LTD,"BIRKDALE, Queensland"
Gregory John MALIC,"YAROOMBA, Qld"
Gregory Paul FLITTON,"Surfers Paradise, Queensland"
Gregory Stewart ADAMS,"PT NOARLUNGA SOUTH, SA"
GRIFFIN SPATIAL AND MAPPING PTY LTD,"PELICAN POINT, WA"
GRIFFITH CITY COUNCIL,"GRIFFITH, NSW"
GRIFFITH UNIVERSITY,"NATHAN, Qld"
GRMB PTY LIMITED,"MONA VALE, NSW"
GROLLO AVIATION PTY LTD,"MENTONE, Vic"
"GRONOW, MATTHEW BARRETT","ANGLESEA, Vic"
GROOTE EYLANDT MINING COMPANY PROPRIETARY LIMITED,"PERTH, WA"
GROUNDLVL MARKETING PTY LTD,"CATHERINE FIELD, New South Wales"
GROUNDWORK SURVEYS PTY LTD,"PEGS CREEK, Western Australia"
GROVELAND AGRICULTURAL SERVICES PTY LTD,"CURRABUBULA, New South Wales"
GRUYERE MANAGEMENT PTY LTD,"LAVERTON, WA"
GSL SURVEY PTY LTD,"TORQUAY, Vic"
GUARDIANSKIES PTY LTD,"GREENVALE, Victoria"
GUEST AND ASSOCIATES PTY LTD,"DUBBO, NSW"
Gunaikurnai Land & Waters Aboriginal Corporation RNTBC,"KALIMNA WEST, Victoria"
GUNGGANDJI PROJECT MANAGEMENT PTY LTD,"Pelican Waters, Qld"
Gunther Civil Pty Limited,"BERESFIELD, New South Wales"
HAMA TECH PTY. LTD.,"BIRKDALE, Queensland"
Hamish John William Gardiner,"COORPAROO, Qld"
HANCOCK RDG PTY LTD,"WEST PERTH, Western Australia"
HANDLEY SURVEYS PTY LIMITED,"KEWDALE, WA"
"HANNEMANN, JESSE CONNOR","BOSTON, South Australia"
HARBINGER GROUP PTY LTD,"SOUTH YARRA, Vic"
HARGREAVES HOLDINGS PTY LTD,"SHEARWATER, Tas"
HARLEY DYKSTRA PTY LTD,"BUNBURY, WA"
HARPY FILM SERVICES PTY LTD,"BRIGHTON, Victoria"
"HARRIS, DAVID JOHN","GOOBURRUM, Qld"
HARRISON INFRASTRUCTURE GROUP PTY LTD,"TOOWOOMBA, Qld"
HARROART PTY LTD,"HIDDEN VALLEY, Qld"
Harry Aslan ROGERS,"ROCKINGHAM, WA"
HARVEY BLACK GROUP PTY LTD,"TOOWOOMBA, Qld"
HAWKEYE IMAGERY PTY LTD,"APPLECROSS, WA"
Hayden Douglas GRIFFITH,"KIAMA DOWNS, NSW"
HAYES CONSILIUM PTY LTD,"YARRA GLEN, Vic"
HAZELWOOD OPERATIONS PTY. LTD.,"HAZELWOOD NORTH, Vic"
HB MEDIA PTY LTD,"Dianella, WA"
HD IMAGERY PTY LTD,"LESMURDIE, WA"
HDE ENGINEERING DESIGN PROFESSIONALS PTY LTD,"EMERALD, Qld"
"HEBDEN, RICHARD ALAN","HURSTBRIDGE, Victoria"
HEIGHTENED VISION PTY LTD,"BRINSMEAD, Queensland"
HEINKEN RANCH PTY LTD,"CARLTON, Tasmania"
HEINRICH GOLF PTY LTD,"Golden Square, Victoria"
HELI AG AVIATION PTY LTD,"GOULBURN, NSW"
HELI GUY PTY. LTD.,"MARRICKVILLE, NSW"
HELICOM PTY LTD,"BANKSIA BEACH, Qld"
HELICOPTER RESOURCES PTY. LTD.,"TYABB, Vic"
HELIMETREX PTY LTD,"STAFFORD HEIGHTS, Qld"
HELIX LAND MANAGEMENT PTY LTD,"MERTON, Victoria"
HENDERSON'S IMAGES PTY LTD,"MACCLESFIELD, Vic"
Henry Stewart Sturrock PETERS,"MALVERN, Vic"
HERBERT CANE PRODUTIVITY SERVICES LTD,"INGHAM, Qld"
HEXFLIX PTY LTD,"WEST END, Qld"
HIGGINS COATINGS PROPRIETARY LIMITED,"KELVIN GROVE, Queensland"
HIGH COUNTRY DRONES PTY LTD,"GLOUCESTER, New South Wales"
HIGH VIEW SERVICES PTY LTD,"SUNRISE BEACH, Qld"
HIGHCOM LIMITED,"SYMONSTON, ACT"
HIGHCOM TECHNOLOGY PTY LTD,"SYMONSTON, Australian Capital Territory"
HILLGROVE RESOURCES LIMITED,"UNLEY, South Australia"
HILLTOP MEATS PTY LTD,"Young, New South Wales"
HINA K PTY LTD,"ELTHAM, Vic"
HINEY ROAD PICTURES PTY LTD,"AVALON BEACH, NSW"
HITACHI CONSTRUCTION MACHINERY (AUSTRALIA) PTY LTD,"GREYSTANES, NSW"
HM REMOTE LOGISTICS PTY LTD,"COSSACK, Northern Territory"
HOBART CITY COUNCIL,"HOBART, Tas"
HOLAN AVIATION PTY LTD,"BONNER, Australian Capital Territory"
HOLOVISION 3D PTY LTD,"Banyo, Qld"
HORIZON LANDMARKS PTY LTD,"MOUNT LEWIS, New South Wales"
HORIZONUAV PTY LTD,"CARINA, Qld"
HOVER UAV PTY LTD,"MUDGEERABA, Qld"
HOWE FARMING ENTERPRISES PTY. LTD.,"Walkamin, Queensland"
HP SURVEYS PTY LTD,"DUNCRAIG, WA"
HR SURVEYORS PTY LTD,"CLAYTON, Vic"
Hugh Creighton MCGRATH,"Trangie, NSW"
Hugh Gregory MCMULLAN,"MELBOURNE, Vic"
Hugh Mango JONES,"GEORGETOWN, NSW"
"HULL, CRAIG","TEMPE, New South Wales"
HUMANEYES FILM PTY LTD,"LEICHHARDT, NSW"
HUNTER DRONE SERVICES PTY LTD,"Bolwarra Heights, New South Wales"
HUNTER H20 HOLDINGS PTY LIMITED,"MAYFIELD WEST, NSW"
HUNTER VALLEY ENERGY COAL PTY LTD,"MUSWELLBROOK, NSW"
HUTCH ENGINEERING SURVEYS PTY LTD,"TALLEBUDGERA VALLEY, Qld"
HUTCHBIZ PTY LTD,"HIGHTON, Vic"
HVAC ALLIANCE PTY LTD,"VIRGINIA, Qld"
HVAC AUSTRALIA PTY LTD,"REDBANK, Qld"
HVPOWER MOUNT ISA PTY LTD,"BREAKAWAY, Qld"
HYDROBIOLOGY WA PTY LTD,"JOLIMONT, Western Australia"
Iain Robert MCGREGOR,"MA MA CREEK, Qld"
Ian David PRIDGEON,"FRANKSTON, Victoria"
Ian James LEE,"WOLLONGONG, NSW"
Ian JOHNSTON,"DOWNSFIELD, Queensland"
Ian Kenneth Wood,"ROWVILLE, Vic"
Ian Richard OLIVER,"HILLCREST, Qld"
Ian Shanley,"GUNNEDAH, NSW"
Ian Thomas MARTIN,"CHIPPING NORTON, NSW"
IAN WILSON PHOTOGRAPHY PTY LTD,"Mt Clear, Vic"
IBERDROLA AUSTRALIA SERVICES PTY LIMITED,"SYDNEY, NSW"
ICHOR AUTONOMY PTY LTD,"MOUNT CROSBY, Qld"
ICON DISTRIBUTION INVESTMENTS LIMITED,"GREENWAY, Australian Capital Territory"
ICON WATER LIMITED,"MITCHELL, ACT"
IGO LIMITED,"SOUTH PERTH, WA"
ILLAWARRA COAL HOLDINGS PTY LTD,"NORTH WOLLONGONG, NSW"
ILLAWARRA LOCAL ABORIGINAL LAND COUNCIL,"WOLLONGONG, NSW"
ILLUMINATE AGENCY AUS PTY LTD,"COLLINGWOOD, Victoria"
IMAGE FACTORY PHOTOGRAPHY PTY. LTD.,"PRAHRAN, Vic"
IMAGEHUNTER FILMS PTY. LTD.,"NOLLAMARA, Western Australia"
IMAGES FOR BUSINESS PTY LIMITED,"ALEXANDRIA, New South Wales"
Imogen Sarah BLOW,"WEST PERTH, WA"
IMPACT AERIALS PTY LIMITED,"WOY WOY, NSW"
INDEPENDENT COMMISSION AGAINST CORRUPTION,"SYDNEY, NSW"
INDESCO PTY LIMITED,"Canberra, Australian Capital Territory"
INDIGENOUS MINING & ENERGY CONSULTANTS NT PTY LTD,"DARWIN, NT"
INDIGENOUS PRECISION SERVICES PTY LTD,"Googong, NSW"
INDIGIVISION PTY LTD,"HEATHRIDGE, Western Australia"
INDIGO IT LABS PTY LTD,"WANGARATTA, Vic"
INDUSTRIAL ARC SERVICES PTY LTD,"ANNERLEY, Queensland"
INDUSTRIAL DRONE SERVICES AUSTRALIA PTY LTD,"Upper Tooloom, NSW"
INDUSTRIAL SPATIAL SOLUTIONS PTY LTD,"MOUNT WARRIGAL, New South Wales"
INFINITY PROJECT MANAGEMENT PTY LTD,"COOGEE, WA"
INFRACORR CONSULTING PTY LTD,"NOTTING HILL, Vic"
INFRAVISION PTY LTD,"Coolum Beach, Queensland"
INNOVAERO OPERATIONS PTY LTD,"KARDINYA, WA"
INNOVATEX PTY LTD,"GEEBUNG, Queensland"
INNOVATIVE BUILDING & DIAGNOSTICS PTY LTD,"CHERRYBROOK, NSW"
INNOVATIVE DRONE SERVICES PTY LTD,"EMERALD, Queensland"
INNOVATIVE DRONE SOLUTIONS PTY. LTD.,"BURLEIGH HEADS, Queensland"
INNOVATIVE LEARNING GROUP PTY LTD,"SOUTHPORT, Queensland"
INSIGHT SURVEY PTY LTD,"YANDINA CREEK, Qld"
INSIGHT UAS PTY LTD,"CRAGIE, WA"
INSITU PACIFIC PTY LTD,"ALDERLEY, Qld"
INSPECTRA PTY LTD,"INNES PARK, Queensland"
INTEGNET SOLUTIONS PTY LTD,"RESEARCH, Vic"
INTEGRAL ENGINEERING PTY LTD,"Paget, Qld"
INTEGRAL SURVEYS PTY LTD,"ANNA BAY, New South Wales"
INTEGRATED AVIATION SOLUTIONS PTY LTD,"PALMVIEW, Queensland"
INTERMESH PTY LIMITED,"STUART PARK, Northern Territory"
INTERSOFT ELECTRONICS SERVICES APAC PTY. LTD.,"FLYNN, Australian Capital Territory"
INTERSPACIAL AVIATION SERVICES PTY LTD,"JANDAKOT AIRPORT, WA"
INTERTEK TESTING SERVICES (AUSTRALIA) PTY. LTD.,"MADDINGTON, Western Australia"
INTRAX CONSULTING ENGINEERS PTY. LTD.,"MELBOURNE, Vic"
INVISION MEDIA PTY LTD,"PADDINGTON, Qld"
INVISO PTY. LTD.,"SEVEN HILLS, NSW"
IP TRAVEL PHOTOGRAPHY PTY LTD,"RANDWICK, New South Wales"
Iqbal mahmud SANJIB,"EPPING, Vic"
Isaac Owen NEWMAN,"KARDINYA, Western Australia"
ISOPLUMB PTY LTD,"NORTH TAMWORTH, New South Wales"
Italo Bruno LEARDINI,"MAROUBRA, NSW"
J & T DRONE SERVICES PTY LTD,"Toobanna, Queensland"
J TECH MEDIA SERVICES PTY LTD,"MAROUBRA, NSW"
J. P. HAMPSON INVESTMENTS PTY LTD,"COORUMBA, Queensland"
J2X CONSULTING PTY LTD,"HIGGINS, Australian Capital Territory"
JACK ATKINSON SURVEYING PTY LTD,"COOMA, New South Wales"
Jackson Daniel HEPNER,"BREAKWATER, Victoria"
JACOBS GROUP (AUSTRALIA) PTY LTD,"NORTH SYDNEY, NSW"
JAG AERO HOLDINGS PTY LTD,"ANNADALE, NSW"
Jaimen Peter HUDSON,"WEST BEACH, WA"
Jake John MCMANUS,"EWINGSDALE, NSW"
James Anthony GORDON,"JINDERA, NSW"
James Bradley Mutch,"HORSHAM, Vic"
James Cameron WARREN,"EMERALD, Qld"
James Henry ARMSTRONG,"LITHGOW, New South Wales"
James Paul AULD,"MERMAID WATERS, Qld"
James Reid MILLS,"NORAH HEAD, NSW"
James Ross BALLINGER,"DELUNGRA, NSW"
James Truman Mitchell-Williams,"INVERGOWRIE, NSW"
James William Everard VAN DER MOEZEL,"NGUNNAWAL, ACT"
"JAMES, CODY SAMUEL","COOTAMUNDRA, New South Wales"
Jamie Dean CONDON,"NARRABRI, NSW"
Jamie Robert LAVERCOMBE,"Tirroan, Qld"
Jamie Ronald GREEN,"EVERTON PARK, Qld"
Jamin Luke FLEMING,"BUNDABERG EAST, Qld"
Jarrad James PARISE,"NEWBOROUGH, Vic"
JARROD BARNES PHOTOGRAPHY PTY LTD,"HEIDELBERG, Vic"
Jason Abadi ZULKARAIN,"CASULA, NSW"
Jason Adam LIDDELL,"WYONG, NSW"
Jason Chester EJDYS,"DERRIMUT, Vic"
Jason Guy NEUTZE,"COLEAMBALLY, NSW"
Jason Wayne NICHOL,"ZETLAND, NSW"
Jasper Michael Lloyd GLAVANICS,"BONDI BEACH, NSW"
JATACAKE ENTERPRISES PTY LTD,"THORNTON, New South Wales"
Jaybin Ryan FORREST,"MOOLOOLABA, Qld"
Jayce Steven BARKER,"WILSTON, Qld"
Jayson Andrew MOYES,"HOUGHTON, SA"
JBZ CONTRACTING PTY LIMITED,"WIRRINYA, New South Wales"
JC DRONE SPRAYING PTY LTD,"TAROOM, Queensland"
JDS DRONE PASTURE SOLUTIONS PTY LTD,"CULMARAN CREEK, NSW"
Jeffrey Allen,"LAKE WYANGAN, NSW"
Jeffrey Peter GAUNT,"TARINGA, Qld"
Jerem Anthony LEACH,"NORTH MELBOURNE, Vic"
Jeremy Arnott BLACK,"SPRINGSIDE, New South Wales"
JEREMY HON YANG CHONG,"VERMONT SOUTH, Vic"
JESEMH PTY LTD,"WEST ROCKHAMPTON, Qld"
Jessica Hamilton BLACKLOW,"COOKS HILL, NSW"
JFP URBAN CONSULTANTS PTY LTD,"SOUTH BRISBANE, Qld"
Jia Rahm CHILDS,"CLONTARF, Queensland"
Jimmi Steve PINNINGTON,"ANDREWS FARM, SA"
JIPO PRODUCTIONS PTY LTD,"KINGSGROVE, New South Wales"
JKTP Pty Limited,"St Marys, South Australia"
JMW AG DRONES PTY LTD,"SILKY OAK, Queensland"
Jock Carter Barnett,"DELUNGRA, NSW"
JOE VITTORIO PHOTOGRAPHY PTY. LTD.,"BRUNSWICK EAST, Vic"
John Adam KIDD,"SANDY BEACH, NSW"
John HEATH,"COOTAMUNDRA, NSW"
JOHN HOLLAND PTY LTD,"MELBOURNE, Vic"
JOHN MARRELL CRM PTY LTD,"COCKBURN CENTRAL, WA"
John PAPPAS,"ROCKDALE, NSW"
Jonathan David Neville DAWSON,"CRANBOURNE SOUTH, Vic"
Jonathan HIRSCH,"TARALGA, NSW"
Jonathan Michael Patrick BOWMAN-YEEND,"LEURA, NSW"
Jordan Allen,"LONG GULLY, Victoria"
Joseph Rendal CANNING,"PLACID HILLS, Qld"
Joseph Samuel Clifford ZAMMIT,"KATOOMBA, NSW"
Joshua Adam Jack SARANTOS,"MOUNT ANNAN, NSW"
Joshua James ABBOTT,"Hamilton Hill, WA"
Joshua Kevin GEAR,"CLEVELAND, Queensland"
Joshua Luke SMITH,"CHAMBERS FLAT, Qld"
Joshua Mark DEVRIES,"LEEMING, Western Australia"
Joshua Michael DARRAH,"ASHGROVE, Qld"
Joshua Noel WHELAN,"CUCKOO, Tas"
JRD MEDIA PTY LTD,"HILLCREST, Qld"
JRX HOLDINGS (AUST) PTY LTD,"WALLAN, Vic"
JSHEP CONTRACTING PTY LTD,"VALENTINE PLAINS, Queensland"
JSO DRONES & CONTRACTING PTY LTD,"EUKEY, Queensland"
JSPATIAL PTY LTD,"EASTWOOD, New South Wales"
JSW AUSTRALIA PTY LTD,"BIBRA LAKE, WA"
JT DRONES PTY LTD,"INJUNE, Qld"
JUDD AND LIVINGSTONE PTY LTD,"CHISHOLM, ACT"
Julian Dawes VAN DEN BERG,"Coledale, NSW"
Julian Dugald ANTHONY,"CHANDLER, Qld"
Julian Santo Francis BLANCO,"CONDON, Qld"
JUM MEDIA PTY LTD,"SHELL COVE, New South Wales"
June CAFIRMA,"ROSEBERY, Northern Territory"
JUROVICH SURVEYING PTY LTD,"COMO, Western Australia"
Justin Darius RAMANAUSKAS,"AVOCA BEACH, NSW"
Justin Paul SANSON,"WARRIMOO, NSW"
Justin Ralph MATTHEWS,"NEW GISBORNE, Vic"
K & S CONTRACTING (QLD) PTY LTD,"TAABINGA, Queensland"
K1 CONTRACTING PTY LTD,"BOOKPURNONG, South Australia"
Ka Weng LAU,"GLEN WAVERLEY, Vic"
KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,"KALGOORLIE, WA"
Kanishk VARMA,"Waitara, NSW"
KAPCHER PTY LTD,"Ferny Creek, Vic"
KAPITOL GROUP PTY LTD,"DOCKLANDS, Vic"
KARARA MINING LIMITED,"Perenjori, WA"
Karl James Edward NOSEDA,"NORTH MELBOURNE, Vic"
Kat Hooch SINKORA,"SUN VALLEY, Qld"
Katherine Victoria THOMAS,"TEMPLESTOWE, Vic"
Kaylaha MALAPONTE,"AYR, Qld"
Kaylet Paul MCDONALD,"EUMUNDI, Qld"
KCB AUSTRALIA PTY LTD,"BRISBANE CITY, Queensland"
"KEE, JAMES WILLIAM","HACKETT, ACT"
KEECH CREATIVE PTY LTD,"HALLSVILLE, New South Wales"
KELLOGG BROWN & ROOT PTY LTD,"MELBOURNE, Victoria"
"KELLY, ERSKINE MICHAEL","DRUMMOND COVE, Western Australia"
Kenneth James Morris,"Toobanna, Qld"
Kenneth Robert Martin Whyte BAIRD,"ROSEBUD, Vic"
KESS MEDIA PTY LIMITED,"OYSTER BAY, New South Wales"
KESTREL COAL PTY LIMITED,"EMERALD, Qld"
Kevin Francis MCGUIRE,"MONA VALE, NSW"
Kevin William PRUNTY,"NORWOOD, SA"
Kieran John CROFT,"DUNGOWAN, NSW"
Kieran Sean Leslie BARRETT,"CARNEGIE, Victoria"
Kieren William Keith LEFEVRE,"RANDWICK, NSW"
Kim Erron SAYWELL,"WAYVILLE, SA"
KIMBERLEY ASTRONOMY TOURS PTY LTD,"CABLE BEACH, Western Australia"
Kimberley Robert KOHEN,"GEORGES HALL, NSW"
Kirk Dennis RUSSELL,"MAROOCHYDORE, Qld"
KITE AEROSPACE PTY LTD,"BALGOWLAH, New South Wales"
KJR DIGITAL PTY LTD,"CHINCHILLA, Qld"
KLARITE HORIZONS PTY LTD,"WEMBLEY, Western Australia"
KLARITE PTY LTD,"WEMBLEY, Western Australia"
Koala Rescue Redlands & Surrounds Inc,"Thornlands, Queensland"
KOINONIA ENTERPRISES PTY LTD,"REVESBY, NSW"
KOMATSU AUSTRALIA PTY LTD,"FAIRFIELD EAST, NSW"
KORELLA AERIAL SOLUTIONS PTY LTD,"O'SULLIVAN BEACH, South Australia"
KOSCIUSZKO THREDBO PTY. LIMITED,"THREDBO, NSW"
KOSHKA MEDIA PTY LTD,"NORTH GOSFORD, New South Wales"
Kostas PINIROU,"LYNDHURST, Vic"
KR SURVEYS PTY LTD,"MULLALOO, WA"
Kris Stuart Stoddart,"ALLAMBIE HEIGHTS, NSW"
Kristian David BRASSINGTON,"edmondson park, NSW"
Kulecam Pty Ltd,"MONA VALE, New South Wales"
Kurt Nathan LEWIS,"Clevelnad, Qld"
Kylie Anne MARTENS,"DUFFY, ACT"
KYLIE JACKSON PHOTOGRAPHY PTY LTD,"TINGALPA, Qld"
LAB 360 SOLAR PTY LTD,"SURRY HILLS, New South Wales"
Lachlan Blake RATSCH,"GREENOCK, SA"
LAING O'ROURKE AUSTRALIA CONSTRUCTION PTY LTD,"SYDNEY, NSW"
LAMINAR COMMUNICATIONS PTY LTD,"TINGALPA, Qld"
Land Solution Australia Pty Ltd,"MILTON, Queensland"
Land Surveying Dynamics (LSD) Pty Ltd,"MAROOCHYDORE, Queensland"
LANDCARE AUSTRALIA LIMITED,"CHATSWOOD, New South Wales"
LANDFORM SURVEYS PTY LTD,"STRATHDALE, Vic"
LANDPARTNERS PTY LTD,"MILTON, Qld"
LANDSCAN PTY LTD,"ARMSTRONG CREEK, Victoria"
LANDSUR PTY LTD,"RINGWOOD, Vic"
LANDTEAM AUSTRALIA PTY LIMITED,"WARILLA, NSW"
LATE NIGHT ENTERTAINMENT PTY LTD,"FRANKSTON, Vic"
