company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,evidence_url_3,source_type_3,evidence_url_4,source_type_4,confidence,notes_claude,notes_chatgpt,sources
DJI Official Enterprise Portal,IN,Manufacturer,Dock 2,1,https://enterprise.dji.com/dock-2,https://www.linkedin.com/company/dji/,https://enterprise.dji.com/dock-2,Official Product,https://enterprise.dji.com/dock-3,Dock 3 Product,,,,,High,Official DJI product pages; specifications; integrations,,Claude
Drone Harmony (Software Platform),IN,"Software Platform, Integration Partner","Dock, Dock 2, Dock 3",3,https://www.droneharmony.com/,https://www.linkedin.com/company/droneharmony/,https://www.droneharmony.com/drone-harmony-for-dji-dock,Product Page,https://dji-ars.pl/product-pol-36452-Drone-Harmony-dla-DJI-Dock.html,Polish Distributor,,,,,High,Full 3D flight management platform; Polish distribution via DJI-ARS,,Claude
FlytBase,IN,"Software Platform, Integration Partner","Dock, Dock 2, Dock 3",3,https://www.flytbase.com/dji-dock,https://www.linkedin.com/company/flytbase/,https://www.flytbase.com/dji-dock-3,Product Integration,https://enterprise.dji.com/ecosystem/flytbase,DJI Ecosystem,,,,,High,Enterprise autonomy platform; available globally; DJI official partner,,Claude
AERMATICA3D,IT,Authorized Dealer / System Integrator,"Dock, Dock 2, Dock 3",Multiple,https://www.aermatica.com/,N/A,https://www.aermatica.com/product/dji-dock-3/,Company Website,https://www.aermatica.com/product/dji-dock-2/,Company Website,,,,,High,DJI Gold Partner and System Integrator. Located in Colverde (Como province). DJI certified for Dock 3 installation and configuration. Develops SDK-based integrations.,,Claude
AerialClick,IT,Authorized Reseller,Dock 2,Multiple,https://www.aerialclick.com/,N/A,https://www.aerialclick.com/matrice-3d/703-dock-2-garanzia.html,Company Website,N/A,N/A,,,,,Medium,Official DJI reseller since 2016. Offers Dock 2 with Italian warranty from Nital. Also resells other leading drone brands.,,Claude
AprFlyTech,IT,Authorized Dealer / Certified Installer,Dock,Multiple,https://www.aprflytech.it/,N/A,https://www.aprflytech.it/product-page/dji-dock-3,Company Website,https://www.aprflytech.it/prodotti/dji-enterprise,Company Website,https://www.aprflytech.it/en/prodotti/dji-enterprise/djidock3,Company Website,,,High,"Located in Paderno Dugnano (Milan area). DJI Enterprise ""A"" Dealer. ENAC training center. Certified by DJI for Dock 3 installation and FlightHub 2 configuration.",Italian enterprise reseller listing DJI Dock 3.,Claude + ChatGPT
DJI Store Italia (official DJI ARS),IT,Authorized Dealer,"Dock, Dock 2, Dock 3",Multiple,https://www.dji-store.it/,https://www.instagram.com/djistore_milano/,https://www.dji-store.it/categoria/imprese/dji-dock-2/,Company Website,https://www.dji-store.it/categoria/imprese/dji-dock-3/,Company Website,,,,,High,Official DJI Authorized Retail Store (ARS) in Italy. Two physical locations: Rome (Euroma2) and Milan (CityLife Shopping District). Online store dji-store.it.,,Claude
Drone Store (drone-store.it),IT,Reseller,"Dock, Dock 2, Dock 3",Multiple,https://www.drone-store.it/,N/A,https://www.drone-store.it/prodotto/dji-dock-3/,Company Website,https://www.drone-store.it/prodotto/dji-dock-2-con-matrice-3d/,Company Website,,,,,Medium,Italian drone and accessories retailer. Offers DJI Dock products with enterprise quotes available.,,Claude
DroneBase (Droni Professionali),IT,System Integrator / Reseller,"Dock, Dock 2, Dock 3",Multiple,https://shop.dronebase.it/,N/A,https://shop.dronebase.it/en/dji-dock-2/,Company Website,https://www.suasnews.com/2021/12/flytbase-dronebase-partner-up-to-provide-fully-autonomous-drone-in-a-box-solutions-in-italy/,News Article,,,,,High,Professional UAS design and integration company. Specializes in tailor-made drone solutions. Partners with FlytBase for autonomous solutions.,,Claude
Elite Consulting (DJI Enterprise Italia),IT,System Integrator / Reseller,"Dock, Dock 2, Dock 3",Multiple,https://www.eliteconsulting.it/,https://it.linkedin.com/company/elite-consulting-srl,https://www.eliteconsulting.it/dji-dock-applicazioni/,Company Website,https://www.eliteconsulting.it/presentazione-a-roma-e-milano-del-dji-dock/,Blog Post,,,,,High,Part of Nital Group. Official DJI Enterprise distributor and system integrator in Italy. Organized presentations in Rome and Milan (May 2023).,,Claude
Fly to Discover,IT,Authorized Dealer,"Dock, Dock 2, Dock 3",Multiple,https://flytodiscover.it/,N/A,https://flytodiscover.it/categoria-prodotto/dji-enterprise/dji-dock-2/,Company Website,https://flytodiscover.it/categoria-prodotto/dji-enterprise/dji-dock-3/,Company Website,,,,,High,Located in Rome. Operating since 2014. Authorized DJI retailer and service center. Offers original products with Italian warranty and fast delivery.,,Claude
GoCamera,IT,Authorized Reseller,All models,Multiple,https://www.gocamera.it/,N/A,https://www.gocamera.it/dji-store,Company Website,N/A,N/A,,,,,Medium,Largest and most active DJI community in Italy. Authorized DJI retailer. Reference as DJI Store partner.,,Claude
HobbyHobby Italia,IT,Reseller,"Dock, Dock 2, Dock 3",Multiple,https://www.hobbyhobby.it/,N/A,https://www.hobbyhobby.it/categoria/imprese/dji-dock-2/,Company Website,https://www.hobbyhobby.it/categoria/imprese/dji-dock-3/,Company Website,,,,,High,B2B e-commerce platform managed by Elite Consulting. Offers all DJI Dock models with warranty options. Support via djienterprise@nital.it.,,Claude
Nital SpA,IT,Distributor,"Dock, Dock 2, Dock 3",Multiple,https://www.nital.it/,https://it.linkedin.com/company/nital-distribuzione,https://www.nital.it/press/2021/nital-dji.php,Press Release,https://www.nital.it/press/2024/dji-dock-2.php,Press Release,,,,,High,Official exclusive distributor for DJI products in Italy since 2021. Distributes through multiple channels including hobbyhobby.it and authorized retailers.,,Claude
PersonalDrones,IT,Authorized Dealer,"Dock, Dock 2, Dock 3",Multiple,https://www.personaldrones.it/,N/A,https://www.personaldrones.it/prodotti/dji/enterprise/dji-dock/dock-2/23349-dji-dock-2-con-garanzia-12-mesi,Company Website,https://www.personaldrones.it/prodotti/dji/enterprise/dji-dock/dock-3/23578-dji-dock-3-con-garanzia-12-mesi,Company Website,,,,,High,DJI Enterprise GOLD Dealer. Operating for 9+ years. Offers 24/48 hour delivery and same-day service in Rome.,,Claude
ToscanaDrone,IT,Authorized Retail Partner,Various DJI products,Multiple,https://www.toscanadrone.com/,N/A,https://www.toscanadrone.com/it/blog/9-news/45-toscanadrone-e-dji-authorized-retail-store-italia.html,Blog Post,N/A,N/A,,,,,Medium,Operating since 2010. Professional drone service provider. Partner of DJI ARS (Rome and Milan official stores). Offers aerial photography and technical inspections.,,Claude
AfterFIT (株式会社アフターフィット),JP,Enterprise End-User,Dock + Compatible Heisha Drone Nest,1,https://www.afterfit.co.jp/,Unknown,https://www.flytbase.com/blog/solar-farm-inspections,Case Study,https://dronedj.com/2022/05/27/bvlos-drones-night/,News Article,,,,,High,"Renewable energy company. Operates at 1,924KW solar plant in Tochigi Prefecture. First in Japan with BVLOS night flights approval. Uses DJI drones + Heisha drone dock. Operational since 2022.",,Claude
DJI Japan (DJI JAPAN 株式会社),JP,Government/Official Entity,Dock 2 + Dock 3,Unknown,https://www.dji.co.jp/,Unknown,https://prtimes.jp/main/html/rd/p/000000324.000015765.html,Press Release,Unknown,Unknown,,,,,High,"Official DJI subsidiary in Japan. HQ: Trade Pia Odaiba 9F, Minato-ku, Tokyo. Sales: sales.jp@dji.com. Announces product launches and maintains DJI dealer network.",,Claude
Drone Business Laboratory (ドローンビジネスラボラトリー/D-Lab),JP,Academia/Research + Training,Dock 3,Unknown,https://dlabo.jp/,Unknown,https://dlabo.jp/dji-dock-3/,Official Site,https://dlabo.jp/%E3%80%8Cdji-dock-3%E3%80%8D%E5%AE%9F%E6%BC%94%E3%82%BB%E3%83%9F%E3%83%8A%E3%83%BC%E3%80%80%E7%B5%82%E4%BA%86%E3%81%AE%E3%81%94%E5%A0%B1%E5%91%8A/,Event Report,,,,,High,"Drone training school (est. 2019). Multiple bases: Kurashiki, Tokyo, Ishioka, Ibaraki. Conducted DJI Dock 3 demonstration seminars. Focuses on Level 3/3.5 flight operations.",,Claude
Drone Station (ドローンステーション),JP,Authorized Retailer,Dock 2,Unknown,https://www.drone-station.net/,Unknown,https://www.drone-station.net/products/detail.php?product_id=24172,Dealer Site,Unknown,Unknown,,,,,Medium,Official DJI Partner. Lists DJI Dock 2 in product catalog. Online sales focused. Limited product information available.,,Claude
HOVERING (ドローンショップ HOVERING ONLINE),JP,Authorized Retailer,Dock 2 + Dock 3,Unknown,https://hoveringonline.com/,Unknown,https://hoveringonline.com/products/detail/1967,Dealer Site,https://hoveringonline.com/products/list?category_id=551,Dealer Site,,,,,Medium,DJI Authorized Enterprise Retailer. Carries Dock 2 and 3 products. Online shop focused on industrial drone solutions. DJI Care Enterprise Plus available.,,Claude
JDRONE (株式会社ジェイドローン),JP,Enterprise End-User + Service Provider,Dock 3,1+,https://jdrone.tokyo/,Unknown,https://dji-info.system5.jp/en/blogs/enterprise/snow-backcountry-jdrone,Case Study,https://dronelife.com/2024/10/14/jdrone-launches-cargo-drone-service-in-rural-japan-with-powerful-heavy-lift-drones/,News Article,,,,,High,Tokyo-based cargo drone operator. DJI Dock 3 deployment consulting and operational support. Deployed at Nozawa Onsen Ski Resort. Cargo service since Aug 2024. Search and rescue applications.,,Claude
Nozawa Onsen Ski Resort,JP,Enterprise End-User,Dock 3,1,Unknown,Unknown,https://dronedj.com/2025/05/21/dji-drone-ski-resort-japan/,Case Study,https://dri-info.system5.jp/en/blogs/enterprise/snow-backcountry-jdrone,Case Study,,,,,High,Ski resort in Nagano. Operates DJI Dock 3 with Matrice 4D/4TD for avalanche detection and terrain monitoring. 24/7 autonomous operations in extreme weather. Emergency response applications.,,Claude
SORABOT (合同会社SORABOT),JP,Software Platform + System Integrator,Dock 2 + Dock 3,Multiple,https://www.sorabot.com/,https://www.linkedin.com/in/hideki-okumura/,https://www.sorabot.com/blog/CSPI2023/DJIDOCK,Blog,https://prtimes.jp/main/html/rd/p/000000014.000111543.html,Press Release,,,,,High,Bronze Solutions Partner. Provides DJI Dock-compatible remote control platform (FlytBase integration). Active demonstrations at Japan Drone 2024. DJI Dock rental/integration consulting.,,Claude
Sekido (株式会社セキド),JP,Authorized Dealer,Dock 2 + Dock 3,Unknown,https://sekidocorp.com/,https://www.linkedin.com/company/sekido/,https://sekido-rc.com/blog/2024/03/27/enterprise_0015/,Dealer Blog,https://sekidocorp.com/20260121_34556/,Official Press,,,,,High,Official DJI Authorized Dealer. Est. 2012. Operates physical stores in Tokyo (Toranomon) and Yokohama. Sales network of ~300 partners across Japan. Hosts DJI Dock 3 demonstrations.,,Claude
Sora Media (そらメディア),JP,Authorized Dealer,Dock 2 + Dock 3,Unknown,https://www.ctv.co.jp/sora-media/remote-control/,Unknown,https://www.ctv.co.jp/sora-media/remote-control/,Dealer Site,Unknown,Unknown,,,,,Medium,Official DJI Authorized Dealer. Promotes DJI Dock 2 and 3. Focus on easy installation and automation capabilities. Limited online presence.,,Claude
System5 (株式会社システムファイブ),JP,Authorized Distributor,Dock 2 + Dock 3,Unknown,https://www.system5.jp/,https://www.linkedin.com/company/system5-co-ltd-/,https://prtimes.jp/main/html/rd/p/000000143.000024840.html,Press Release,https://dji-info.system5.jp/collections/dock/products/dji-dock3,Dealer Site,,,,,High,"Official DJI Distributor. Began handling Dock 3 in Feb 2025. 3 consecutive years top sales in Japan. Nationwide dealer network. HQ: Chiyoda Ward, Tokyo.",,Claude
Tohasen (トーハーセン),JP,Authorized Dealer,Dock 2 + Dock 3,Unknown,https://tohasen.com/,Unknown,https://tohasen.com/dji-drone/remote-drone-operation-solutions/dji-dock-3/,Dealer Site,https://www.tohasen-robotics.com/,Corporate Site,,,,,High,Official DJI Authorized Distributor. Offers Dock 2 and Dock 3 bundles with drones. DJI Dock 3 training center established at T-MIB Drone Field (Jan 2026). Robotics company division.,,Claude
FlytBase,PL,Software Platform,Dock 1 Dock 2 Dock 3,Unknown,https://www.flytbase.com/,https://www.linkedin.com/company/flytbase/,https://www.flytbase.com/dji-dock,Company Website,https://www.flytbase.com/case-studies/uae-waste-management-autonomous-drone-implementation-case-study,Case Study,,,,,High,Enterprise drone autonomy software platform. Integrated with DJI Dock. Partners with AERONEX for MENA region. UAE case study available.,,Claude
Asseco Poland,PL,Software Platform/Partner,"Dock, Dock 2, Dock 3",3,https://pl.asseco.com/en,https://www.linkedin.com/company/asseco-poland,https://enterprise.dilectro.pl/asseco-wyposazy-drony-dji-w-polskie-oprogramowanie/,Partnership Article,https://polishdefenceindustry.gov.pl/en/company/asseco-poland-sa-3/,Defence Portal,,,,,Medium,Polish software security integration; DJI drone partnership with Dilectro; uniformed services focus,,Claude
DJI Store Warszawa,PL,Authorized Retail,Consumer models,N/A,https://dji-ars.pl/DJI-ARS-Warszawa-stock-3-pol.html,https://www.linkedin.com/in/dji-store-warszawa/,https://dji-ars.pl/DJI-ARS-Warszawa-stock-3-pol.html,Store Location,https://www.instagram.com/djistorewarszawa/,Social Media,,,,,Medium,Physical retail location Warsaw; part of DJI-ARS network,,Claude
DJI-ARS Enterprise,PL,Authorized Dealer,"Dock, Dock 2, Dock 3",3+,https://dji-ars.pl/,https://pl.linkedin.com/showcase/dji-ars-enterprise/,https://dji-ars.pl/product-pol-41687-Stacja-dokujaca-DJI-Dock-2.html,Product Catalog,https://enterprise.dji-ars.pl/pierwsza-w-historii-inspekcja-farmy-fotowoltaicznej-za-pomoca-dji-dock/,Case Study - Solar,,,,,High,Official DJI retail store; first photovoltaic farm inspection in Poland using DJI Dock,,Claude
Dilectro,PL,Authorized Distributor,"Dock, Dock 2, Dock 3",3+,https://enterprise.dilectro.pl/,https://www.linkedin.com/company/dilectro/,https://enterprise.dilectro.pl/dji-dock/,Product Page,https://enterprise.dilectro.pl/asseco-wyposazy-drony-dji-w-polskie-oprogramowanie/,Partner Integration,,,,,High,DJI Enterprise distributor; partnership with Asseco for Polish secure software,,Claude
Drony.net,PL,Authorized Dealer,"Dock, Dock 2, Dock 3",3+,https://www.drony.net/,https://www.linkedin.com/company/drony-net/,https://www.drony.net/dji-dock-3.html,Product Listing,https://www.drony.net/dji-dock-2.html,Product Listing,,,,,High,Long-standing DJI authorized seller; comprehensive product range,,Claude
Dronydlafirmy.pl,PL,System Integrator,"Dock 2, Dock 3",2+,https://dronydlafirmy.pl/,https://www.linkedin.com/company/dronydlafirmy/,https://dronydlafirmy.pl/dji-dock-2/,Rental Services,https://dronydlafirmy.pl/produkt/dji-dock3-z-dronem-dji-matrice-4td/,Product Package,,,,,High,DJI Dock rental and operation services; FlightHub 2 integration; leasing model,,Claude
FlyStore.pl,PL,Authorized Dealer,"Dock, Dock 2, Dock 3",3+,https://flystore.pl/,https://www.linkedin.com/company/flystore/,https://flystore.pl/stacje-dji-dock,Product Catalog,https://flystore.pl/Stacja-dokujaca-DJI-Dock-3,Product Page,,,,,High,DJI Enterprise retailer; leasing services in Warsaw; Kraków; Gdańsk,,Claude
INNPRO Robert Błędowski Sp. z o.o.,PL,Authorized Distributor,"Dock, Dock 2, Dock 3",3+,https://innpro.pl/dystrybucja-dji/,https://www.linkedin.com/company/innpro/,https://innpro.pl/dystrybucja-dji/,Official Distributor,https://enterprise.innpro.pl/,Enterprise Portal,,,,,High,Official DJI Enterprise distributor for Poland; operates enterprise.innpro.pl; headquarters Poland,,Claude
IRONSKY,PL,Authorized Dealer,"Dock, Dock 2, Dock 3",3+,https://ironsky.pl/,https://www.linkedin.com/company/iron-sky,https://ironsky.pl/dji-dock-porownanie/,Comparison Guide,https://ironsky.pl/drony-sklep/produkt/stacja-dokujaca-dji-dock-3/,Product Listing,,,,,High,Sold 3 DJI Dock 1 systems in 2023; comprehensive testing program; energy sector focus,,Claude
MegaDron,PL,Authorized Dealer,"Dock, Dock 2, Dock 3",3+,https://megadron.pl/,https://www.linkedin.com/company/megadron/,https://megadron.pl/en/products/docking-station-dji-dock-2-29355.html,Product Listing,https://megadron.pl/en/blog/dji-dock-3-vs-dji-dock-2-docking-station-comparison-1740670039.html,Comparison Blog,,,,,High,Official DJI Partner; VLOS/BVLOS training; service center,,Claude
Navigate.pl,PL,Authorized Distributor,"Dock, Dock 2, Dock 3",3+,https://navigate.pl/,https://www.linkedin.com/company/navigate-gps/,https://navigate.pl/nasze-marki/,Brand Portfolio,https://navigate.pl/produkt/dji-dock-3-m4d-m4td/,Product Listing,,,,,High,DJI Enterprise Gold Partner; located Kraków; comprehensive DJI product line,,Claude
SITECH Poland,PL,Authorized Dealer,"Dock 2, Dock 3",2+,https://sitech-poland.pl/,https://www.linkedin.com/company/sitech-poland/,https://sitech-poland.pl/drony-dji-dock-3-drony/,Product Page,https://enterprise.dji.com/dock-3,DJI Dock 3 Overview,,,,,High,Specializes in Dock 3 with Matrice 4D/4TD; dedicated drone robotics solutions,,Claude
SNH Drones,PL,Authorized Dealer,"Dock 2, Dock 3",2+,https://snhdrones.pl/,https://pl.linkedin.com/company/snh-drones,https://snhdrones.pl/stacja-dokujaca-dji-dock-3/,Product Listing,https://snhdrones.pl/stacja-dokujaca-dji-dock-2/,Product Listing,,,,,High,Training center with 15+ Polish cities; VLOS/BVLOS courses; service provider,,Claude
TPI (Drony DJI - TPI),PL,Authorized Distributor,"Dock, Dock 2, Dock 3",3+,https://dji-tpi.com.pl/,https://www.linkedin.com/company/tpi-poland/,https://dji-tpi.com.pl/,Distributor Portal,https://tpi.com.pl/porady-eksperta/autonomiczne-operacje-dronami-czyli-dji-dock-3-i-matrice-4d-4td-w-akcji,Expert Guide,,,,,High,Dual website presence (dji-tpi.com.pl and tpi.com.pl); enterprise focus,,Claude
Trukszyn (DJI Store),PL,Authorized Dealer,Various,N/A,https://trukszyn.pl/,https://www.linkedin.com/company/trukszyn/,https://trukszyn.pl/,Store Page,https://dji-ars.pl/Salony-DJI-Store-cinfo-pol-218.html,Store Directory,,,,,Medium,Szczecin location; DJI-ARS partner; consumer focus,,Claude
aeroMind.pl,PL,Authorized Dealer,"Dock, Dock 2, Dock 3",3+,https://aeromind.pl/,https://www.linkedin.com/company/aeromind/,https://aeromind.pl/product-eng-13819-DJI-Dock-3-docking-station.html,Product Listing,https://aeromind.pl/firm-eng-1480422414-Dji.html,DJI Vendor Page,,,,,High,System integrator with thermal imaging; professional drones focus,,Claude
Avetics Global Pte Ltd,SG,Authorized Dealer,Dock 2 & 3,Unknown,https://www.avetics.com,https://sg.linkedin.com/company/avetics-global,https://www.avetics.com/dji-dock-2,Company Website,https://www.avetics.com/dji-dock-3,Company Website,,,,,High,DJI Gold Enterprise Dealer; Contact: team@avetics.com +65 9632 4034; Address: Amtech Building Lobby 2 #07-02B #05-07 159 Sin Ming Road Singapore 575625,,Claude
Flying Bots Pte Ltd,SG,Authorized Dealer,Unknown,Unknown,https://flyingbots.net,Unknown,https://flyingbots.net,Company Website,Unknown,Unknown,,,,,Medium,DJI Enterprise partner; offers consultancy support and solutions; Contact: +65 87255730 info@flyingbots.net,,Claude
MIRS Innovate,SG,Authorized Dealer,Unknown,Unknown,https://www.mirs-innov.com,Unknown,https://www.mirs-innov.com/singapore-dji-authorized-dealer,Company Website,https://www.mirs-innov.com/dji-drone,Company Website,,,,,Medium,DJI Authorised Enterprise Dealer; CAAS-approved UATO; Address: Cemtex Industrial Building #03-01 5 Central Singapore 536983,,Claude
Red Dot Photo,SG,Authorized Dealer,Unknown,Unknown,https://www.reddotphoto.com.sg,Unknown,https://www.reddotphoto.com.sg/collections/dji,Company Website,Unknown,Unknown,,,,,Medium,DJI authorized reseller; carries DJI drones and accessories,,Claude
The Drone Shop,SG,Authorized Dealer,Unknown,Unknown,https://thedroneshop.co,Unknown,https://thedroneshop.co/dji.html,Company Website,Unknown,Unknown,,,,,Medium,DJI Authorised Dealer; Address: 100G Pasir Panjang Road #01-17 Interlocal Centre Singapore 118523; Contact: +65 87255730,,Claude
Abdul Rahman Al Shareef Group,SA,Authorized Dealer,Dock 3,Unknown,https://alshareefgroup.sa/en/home-en/,Unknown,https://alshareefgroup.sa/en/dji-dock-3-for-enterprise-en/,Company Website - DJI Dock 3 Page,https://alshareefgroup.com/top-9-features-of-dji-dock-3/,Blog - DJI Dock 3 Features,,,,,High,"Established 1988, based in Jeddah with nationwide branches. Authorized DJI Enterprise distributor. Actively promotes Dock 3 for enterprise applications including security and inspection.",,Claude
Glider Aerial,SA,Authorized Reseller,Dock,Unknown,https://www.glider-aerial.com/category/dronestore,Unknown,https://www.glider-aerial.com/product-page/dji-dock-3-overseas-edition,Company Website - DJI Dock 3 Product Listing,https://www.glider-aerial.com/,Company Website - Home,https://www.glider-aerial.com/product-page/dji-dock-2-overseas-edition,Company Website,,,High,DJI Saudi Arabia authorized reseller. Actively sells DJI Dock 3 (Overseas Edition) with warranty options (1-2 years). Provides drone services including industrial inspection and construction monitoring.,Saudi reseller listing DJI Dock 2 overseas edition.,Claude + ChatGPT
NineTenths,SA,Authorized Dealer,Dock,Unknown,https://www.9tenthsco.com/about-us-ninetenths,https://www.linkedin.com/company/ninetenths/,https://www.9tenthsco.com/post/dji-dock-3-a-game-changer-for-remote-drone-operations-in-saudi-arabia,Blog - DJI Dock 3 Product Article,https://sa.zain.com/en/all-news/news-11-9-2023,Press Release - Zain KSA Partnership,https://www.9tenthsco.com/dock-2,Company Website,https://www.9tenthsco.com/post/dji-dock-2-a-new-benchmarks-for-efficiency-and-dependability-in-autonomous-aerial-operations,Company Website,High,"Official DJI Enterprise Dealer in Saudi Arabia, headquartered in Riyadh. Signed exclusive partnership with Zain KSA for DJI Dock autopilot platform (Sept 2023). Actively promotes Dock 2 and Dock 3 solutions.",Saudi technology company with DJI Dock 2 product and launch content.,Claude + ChatGPT
Shamal Technologies,SA,Authorized Dealer; System Integrator,Dock,Unknown,https://shamal.sa/,https://www.linkedin.com/company/shamal-technologies,https://shamal.sa/products,Company Website - DJI Enterprise Products,https://shamal.sa/about,Company Website - About Page,,,,,Medium,Fully Saudi-owned geospatial and drone technology company headquartered in Jeddah. Authorized DJI Enterprise seller offering autonomous docking solutions. Over 93% Saudi workforce. Supports Saudi Vision 2030.,Saudi enterprise seller showing DJI Dock among product lineup.,Claude + ChatGPT
Terra Drone Arabia,SA,Authorized Dealer; System Integrator,Dock,Unknown,https://terra-drone.com.sa/,Unknown,https://terra-drone.com.sa/how-dji-dock-3-saves-city-surveillance-budget-by-30/,Blog - DJI Dock 3 Case Study,https://terra-drone.com.sa/dji-enterprise-partner/,Company Website - Partner Page,,,,,High,Official DJI Enterprise partner. Licensed to distribute DJI Dock and accessories. Actively integrates Dock 3 for city surveillance and enterprise solutions. Showcased at NAP Tech 2025 for Aramco solutions.,Saudi DJI enterprise partner highlighting Dock 3 in offering.,Claude + ChatGPT
Zain KSA,SA,Enterprise End-User,Dock,Unknown,https://sa.zain.com/en/all-news/news-11-9-2023,Unknown,https://sa.zain.com/en/all-news/news-11-9-2023,Press Release - Official Partnership,https://menafn.com/1107052792/Drone-Solutions-From-Zain-Ksa-Signed-Exclusive-Agreement-With-Nine-Tenths-For-Dji-Dock-Autopilot-Platform,News Article - Partnership Announcement,https://www.9tenthsco.com/dock-2,Company Website,,,High,"Telecom operator signed exclusive agreement with NineTenths (Sept 2023) for DJI Dock autopilot platform. Uses for construction monitoring, industrial surveillance, round-the-clock monitoring applications.",Strategic partnership announcement references advanced DJI Dock platform in Saudi market.,Claude + ChatGPT
24-7 Drone Force,ZA,Enterprise End-User (Security),Dock,1+,https://24-7droneforce.co.za/,Not found,https://www.flytbase.com/case-studies/24-7-drone-force-residential-estate-security-docks-south-africa,FlytBase Case Study,https://www.securityfocusafrica.com/2025/01/28/24-7-drone-force/,News Article,,,,,High,"Premier security provider with 3,500 security officers. Operates DJI Dock for residential estate perimeter security. Regulatory approval from SACAA (Agridrone Pty Ltd t/a 24/7 Drone Force). First security industry docked drone solution in SA.",,Claude
Afri Air (aadrones.co.za),ZA,"Authorized Dealer, Distributor","Dock 2, Dock 3",multiple,https://aadrones.co.za/,Not found,https://aadrones.co.za/product/dji-dock-3/,Product Page,https://aadrones.co.za/product/dji-dock-2/,Product Page,,,,,High,"Licensed DJI distributor. Specializes in agricultural applications. Located in Ermelo. Offers Dock 3 with 47-minute flight time, 25km range for farms.",,Claude
Africa Drone Kings,ZA,"Authorized Dealer, System Integrator, DFR Service Provider",Dock,multiple,https://africadroneking.co.za/,https://za.linkedin.com/company/africa-drone-kings-pty-ltd,https://africadroneking.co.za/product/dji-dock-3/,Product Page,https://africadroneking.co.za/blog/2026/03/15/drone-as-first-responder-south-africa-dji-dock-3/,Blog,https://africadroneking.co.za/product/dji-dock/,Company Website,https://africadroneking.co.za/product/dji-dock-2/,Company Website,High,"Johannesburg-based dealer offering site planning, installation, training, lifetime support. Works with security, mining, estates. Address: First House, 258 Main Ave, Ferndale, Randburg, 2194. Phone: 011 824 0678",South African reseller listing both DJI Dock and DJI Dock 2.,Claude + ChatGPT
Africa Drone Kings Western Cape,ZA,Authorized Dealer,Dock 3,multiple,https://africadronekingswc.co.za/,https://www.instagram.com/adkwc/,https://africadronekingswc.co.za/collections/dji-dock-3,Product Page,https://www.instagram.com/adkwc/,Social Media,,,,,High,Cape Town location. Phone: 021 020 2603. Email: cape@africadronekings.co.za,,Claude
Bidvest UDS,ZA,Enterprise End-User,"Dock, Dock 2",multiple,https://www.bidvest.co.za/,Not found,https://dronenews.africa/drones-and-security-applications-bidvest-uds/,Dronenews.africa,Not found,N/A,,,,,Medium,"Part of Bidvest Group (joined 2019). UAV integrator established 2013. Fleet of ~400 drones. Serves government, SOEs, mining, industrial facilities. Uses Dock for automated security surveillance with FlytBase integration.",,Claude
EDSSA,ZA,Distributor,Dock,multiple,https://edssa.co.za/,Not found,https://edssa.co.za/our-drones/,Products Page,Not found,N/A,,,,,Medium,Authorised DJI retailer. Offers Matrice 30 Dock version with wireless charging and rain/wind sensor. Provides courier repairs and warranty support across SA.,,Claude
FlytBase,ZA,Software Platform,Dock 2,N/A,https://www.flytbase.com/,Not found,https://www.flytbase.com/blog/flytbase-and-hdrt,HDRT Partnership,https://www.flytbase.com/dji-dock,DJI Dock Page,,,,,High,"Drone autonomy software platform partnered with HDRT. Enables integration with CCTV, sensors, alarms, access control. Supports FlightHub 2 operations. Multiple SA deployments documented.",,Claude
GoUAV,ZA,"Authorized Dealer, Distributor, Value-Added Reseller",Dock,multiple,https://gouav.co.za/,Not found,https://gouav.co.za/,Dealer Homepage,https://gouav.co.za/pages/authorised-dji-dealer,Authorized Dealer Page,https://gouav.co.za/pages/dji-dock-2,Company Website,,,High,Authorized South African DJI Enterprise Distributor. Subsidiary of TeleEye (South Africa). Offers Dock 3 with M4D and M4TD. Phone: +27 11 557 9200,South African drone supplier with DJI Dock 2 page.,Claude + ChatGPT
HDRT (Hennie's Drones),ZA,"Authorized Dealer, System Integrator, DFR Service Provider",Dock 2,multiple,https://www.hdrt.co.za/,Not found,https://www.hdrt.co.za/dji-dock-2,DJI Dock 2 Page,https://www.flytbase.com/blog/flytbase-and-hdrt,FlytBase Partnership,,,,,High,DJI-accredited reseller and certified repair center. One of few SA dealers with 2 DJI Dock engineers. Partnership with FlytBase for security operations. Works with 24-7 Drone Force. Est. 2018 by Hennie Deetlefs.,,Claude
Metagrated,ZA,System Integrator,Dock,1+,Not found,Not found,https://www.flytbase.com/case-studies/24-7-drone-force-residential-estate-security-docks-south-africa,FlytBase Case Study,Not found,N/A,,,,,Medium,"Integrated DJI Dock with FlytBase for 24-7 Drone Force. Works on AI-enhanced threat detection. Director: Michael Lever. Exploring applications in mining, agriculture, commercial property.",,Claude
